,text
49,"The Rays snap a three-game losing streak and retake first place in the AL East with a 9-4 victory over Los Angeles before a  Pride  Night crowd of 21,598.  https://www. tampabay.com/sports/rays/20 19/06/15/rays-hit-their-way-out-of-a-pinch-to-beat-angels/   …  @RaysBaseball  #RaysUp  @Angels"
50,+
51,"Please join this amazing group of influencers next Tuesday 6/25 @Angels  for #PrideNight .   http:// angels.com/pridenight   .  Hope to see you there !!
@MLB     http://www. shredhate.org   pic.twitter.com/XPbxGwDfiw"
52,"The @Angels  are hosting its first ever #PrideNight  on Tuesday 6/25. For tix  http:// angels.com/pridenigh   , get there early and check out the panel discussion I’m moderating. Hope to see you there !!
@MLB     http:// shredhate.org   pic.twitter.com/oWVybiQ1A0"
53,"The @Angels  #Pride  night on June 25 will feature a panel with Athlete Ally Ambassador @mayareddy , @jasoncollins98 , @LZGranderson  and more!  http:// angels.com/pridenight   pic.twitter.com/C9j9PsSy6S"
54,"Fallen  Angels , demons, monsters, souls trapped between worlds, guardian  angels  and  deviant  sexual behaviors make up the story of Home. #suspense  #horror  #amazonbooks   @ChuckWesJ  available at Amazon -->  https:// allauthor.com/amazon/2164/   pic.twitter.com/5Nfn9hFJwi"
55,"Androids as  angels  implies that any demons are  Deviant  and I like this insinuation.

:3c"
56,Latín american  pride . I know for a fact. The 6th dominican in hall of Fame. After Ortiz's And beltre's exaltation.
57,Anybody following 6ix  angels  is a  deviant
58,"“That’s-“

“Azrael’s Blade, yes.”

“Where did you get that?”

“The  angel  of death is awfully busy tonight, no thanks to you and your  deviant  friends. Don’t blame him for being a little...distracted. I only borrowed it for a moment. I’ll give it back, Connor, I promise.”"
59,"It's kinda sexy. I get you, D!   Tom puts on a show as an  angel  most the time. However, I think he's more  deviant  than we realize; at least in secret.. "
60,"“Yeah, I can’t wait to see our little  angels , can you?” "
61,Apparently I’m a  deviant  and she’s a pure little  angel
62,Please do  angel  
63,"This is what it’s really all about at the end of the day! #respect  #pride  #attitude  #effort  #memories  #honor  #baseball  #itsagame  #letthemplay  #stlouiscardinals  #laangels  #albertpujols  #futurehofer   Pujols, Angels leave St. Louis on high note  https:// atmlb.com/2x8IL6N    via @MLB"
64,"This was all a cruel  angel 's thesis from the start
Brought to life, out the window, now it's taking flight
Scorching pathos if you betray your memory
Follow this  deviant -divine philosophy
Shining more than these stars that bathe the galaxy

Damn you text limit"
65,"Like the @Angels  are my favorite team. Born and raised. Literally last year during  Pride  I complained that my favorite team has never done a  Pride  night. Tomorrow they're doing their first, I'm just not going to miss this."
66,"Tomorrow is  Pride  Night with the @Angels ! Don't miss this great event. 
 https://www. mlb.com/angels/tickets /specials/pride-night   …"
67,"Tomorrow night @Angels  hope you can join a great group at #PrideNight  pre-game panel.
@MLB    http://www. shredhate.org   pic.twitter.com/t4zihWSljV"
68,"Offensive and completely inappropriate.

Let families enjoy a baseball game without false "" pride "" propagandists promoting deviant sexuality to children.

#ShameOnRadiantHealthCenters 
#ShameOnAngelsBaseball"
69,"More from @TomsFoundation : @Deviant _Nico  in this baby,  http:// etsy.com/listing/698639 748   … , photo by Miguel  Angel  Reyes

#thong  #fashion  #queergear pic.twitter.com/YCpxKFuS3f"
70,"Stoked to attend #PrideNight  with @theturtle32 , @mgettman , Matt, & Emily at #AngelStadium  in #Anaheim ! @Angels  take on the @Reds  at 7:07pm, but before that, don't miss the Pre-Game Panel Discussion at 5:30pm w/ @jasoncollins98 , @billybeanball , @LZGranderson  & more! pic.twitter.com/JIubxAahUv"
71,"According to the text the following people were/are  deviant  ? -
A.Joan of Arc
B.Mozart
C.The Hell,s  Angels 
D.People with high IQs

 https:// pakmcqs.com/economics-mcqs /miscellaneous/according-to-the-text-the-following-people-were-are-deviant   …"
72,"The @angels  are baaaack in town. They open a 6-game homestand tonight vs @yasielpuig  and the @reds .  Pride  night  , Christmas in June, a toy   drive and so much more this week. Catch it all on @FoxSportsWest ! Pregame tonight at 630 pm. pic.twitter.com/G507gU4rek"
73,Why did I just have to find out by my mom that the @Angels  are having a  pride  night tonight lol
74,"LATIN HUMP DAY FIESTA.... SF  PRIDE  EDITION W/SEXY PAPI BOY  ANGEL  LIVE ON WED JUNE 26TH @BeauxSF    ¤
¤
¤
¤

FREE COVER B4 930PM W/TEXT | 10 PAPI GOGO'S + RPDR STAR KIMORA BLAC EN VIVO!!…  https://www. instagram.com/p/BzJaccznDj-/ ?igshid=uqe77tfyxph8   …"
75,Beaming with  pride  at my  angels  tonight  pic.twitter.com/LBgXWJwqMh
76,Is tonight  Pride  Night   at the Big A?
77,"Happy  Pride  Month! 

""A lot of people from the LGBT community come to America as a way to escape from the dangerous situation in El Salvador."" - Luis  Angel 

Read Luis’ story here:  http://www. greencardvoices.com/speakers/luis- angel-santos-henriquez/   … 

#greencardyouthvoices  #GCYV  #GCYVMinneapolis  #equality  #pride  #elsalvador pic.twitter.com/CRkoGwPD69"
78,"i stan the most beautiful  angel  man, i still remember being at  pride  with u last year, so proud<333  https:// twitter.com/injunniez/stat us/1143639583516700678   …"
79,Pride  Night!   #Pride  #pridenight
80,Angel  of the North takes  pride  of place #mscgluk  #LGBTQ   http:// bit.ly/2ZBRoTj    #adrianmartin  #antonygormley  #chorizamay  #lgbtq  #newcastle  #northernpride  #uk
81,"happy birthday my  angel  @ArianaGrande   
i love you from the bottom of my heart
you and your talent mean the world to me
you've been bringing me happiness, euphoria and tears of  pride  since i saw this little cute Cat Valentine on Nickelodeon
you are still growing, becoming a-"
82,no cops at  pride  just leorio and his switchblade
83,happy  pride   angels  ! this message is SO IMPORTANT. thank you 
84,I got that  pride  Babey  pic.twitter.com/N24pmQxab7
85,22K lifesaving @pflag  publications provided so far! #jnj  @donateaphoto  #PFLAGSavesLives  #photoaday    #PRIDE    http:// bit.ly/2X5lCl6   pic.twitter.com/vZ8oVl2XdQ
86,"Should have a fun night tonight...looking forward to live updates
@billybeanball  @LZGranderson  
@IncLgbtq  @PujolsFive  
 $ LFAP   $ LGBQ  #Pride   @Angels   https:// twitter.com/LZGranderson/s tatus/1141038014224715776   …"
87,You know the @Angels  take their  pride  night seriously when this is an offer in the Ballpark app.  pic.twitter.com/B1L7ZUmJTj
88,Hey @Angels  @MikeTrout  we here showing our #pride  !   Go Halos! #pridenight pic.twitter.com/ewhdlkDNWn
89,Celebrating the first ever #PrideNight  with @angels  with @menalivechorus !!!! #losangelesangels  #anaheimangels @Angel Stadium of Anaheim  https://www. instagram.com/p/BzJ8lvJA_e3u P0Yhz1hT3uVZnicIf0awDe5HQ80/?igshid=1gvpy4fb93oov   …
90,Happy #PrideNight  @Angels ! Big thanks to @SwarlesBarkley_  for delivering my Cincy hat. #TheHaloWay  #Desde1869 pic.twitter.com/CGFN6GwQXC
91,Happy First  Pride  Game @Angels !  pic.twitter.com/8hH5FgEpVr
92,pride  night is cool and all but what about heterosexuals? feeling left out 
93,Spending the evening with Rob & the @MenAliveChorus  guys at the first-ever @Angels  #pride  night! #LGBTQ  #OrangeCounty pic.twitter.com/HvA65kG7uO
94,Hey @Angels  - your  Pride  Night needs some work.  You could have at least decorated ur Xmas trees in rainbow. 
95,I   my @MenAliveChorus  guys!   @angels  #pridenight   https:// twitter.com/ChihuahuaEmp36 /status/1143714569652600832   …
96,I’m proud of my offensive additions this season. #PrideNight
97,"Pride  Night at @Angels  was a beautiful occasion, but that didn’t stop me from clowning my boy @jasoncollins98  before he threw out the first pitch pic.twitter.com/WmK4Lwu6PV"
98,For nearly 20 years I’ve been in @billybeanball  corner. Looking forward to the next 20 as he works to make baseball a place for  everyone. Shoutout to the @Angels  for hosting its first ever  Pride  Night and @jasoncollins98  for throwing a strike on the first pitch pic.twitter.com/sRH140sdqm
99,"It’s  Pride  Night at The Big A! Thanks @jillpainter  for snapping a pic of me where some people don’t know I spend a lot of my time at - behind the camera! 

Incredible seeing another team spread the message of inclusion and honored to bring @Angels  fans a recap.  pic.twitter.com/Gdxn46MHrD"
100,I agree! I love my angels but I was frustrated that they never had a  Pride  night until now. It’s about time
101,"Thanks to @billybeanball  for stopping by to say hi on #pridenight  @angels  tonight. Bean had a chance to catch up with @Markgubicza , who remembers facing him in #MLB . Pitchers never forget! Great turnout. Bean does great work w/ @mlb  & inclusion. pic.twitter.com/jBPTBXaOWN"
102,Thx Jill! It’s great what Billy has done for baseball! He’s a good friend. Super proud of him #pridenight
103,"Now that we live in So CA... gotta give the @Angels  our support for their first ever #pride  night! YAY!  This is the first @Angels  gear I've ever owned!
#PRIDEmonth  #Pride2019  #LGBTPride pic.twitter.com/SOwEr75JXD"
104,We were stoked to see an adorable queer kiss on the @Angels  kiss cam tonight for #Pride !  pic.twitter.com/M1p9NkwPur
105,A lesbian couple on the #KissCam  during the first ever #PrideNight  with the @Angels  was everything. Thank you @Angels  for doing this! Having a great time here with @MenAliveChorus !! pic.twitter.com/12fC1LH28l
106,"Stark contrast to how the dodgers promoted their  pride  night, interesting"
107,"That’s disappointing. @Angels  had a  Pride  Night w/o any  Pride    Nice try, I guess. "
108,I will be there on the Sunday but know a lot of @LAAngelsUK  will be there over the weekend. Ill be wearing my Ducks night jersey with  pride . Will try and get some photos with other Angels fans and send you them over!
109,Pride  night @Angels   pic.twitter.com/E7dKP8DAW1
110,"Worst  pride  night ever @Angels  No mention of #PrideNight   during the game. No  pride  flags, no  pride  colors. Honestly couldn’t even tell it was  pride  night except for the people around us. @angels  marketing department got this one all wrong. They should take a lesson from @Dodgers"
111,"I Was a part of the @Angels  first  Pride  night-then drove up to SF to play in the first SF  Pride  Golf Tournament tomorrow&I truly cant believe I get to be a part of these events and fight for & help create the queer&QPOC inclusivity & visibility in golf I never saw, and wish I had"
112,"Each of you, living your truth & just being you help so many people every day - counting myself among them. I have so much love,  pride , admiration, & hope for you all. Thank you! @billybeanball  @CoachJulieShaw  @PeanutManuel  @mayareddy  #DaleScott  @jasoncollins98  @Angels  @MLB"
113,"Let me gush about how much I #lovemybestfriend  @marrazola714  stopped by late last night saying she had something for me. Turns out, she went to the @angels  #firstever  #pridenight  and #surprisedme  with a new #rainbow …  https://www. instagram.com/p/BzLWb91AS3a/ ?igshid=1pkschd50b5rm   …"
114,Our happy smiles say it all... our chorus members and supporters enjoyed seeing the @Angels  win during the first ever #Pride  Night at #AngelStadium !   #angelsbaseball  #oc  #lgbt pic.twitter.com/16cYuvWvvb
115,Love seeing the outstanding Board of Directors for  LGBTQ  Loyalty Holdings Inc in action!  @bobbyablair  @IncLgbtq    $ LFAP
116,@ billybeanball  Thank you for talking to me at the @Angels  #PrideNight  event. ...and for signing my cap!  pic.twitter.com/csz7Xhi8Cn
117,@ Angels  thanks angels for the free chicken sandwich from the most homophobic business in the USA. Way to support the  LGBTQ  community
118,"Paul G. Be on the right side of history #vote 

Senior Technical Recruiter/Talent Advisor #Startups . #Homelessness  #LGBTQ  #GunControl . #Foodie  #Reiki  #LAAngels  #Bears  #Lakers . Proud liberal #Democrat  #Resist 
San Diego,  https://www. linkedin.com/in/pagoldenber g/   … 
Born June 1967 Joined Sept 2011."
119,"There is more  pride  , respect and most of all tradition in thee #LADodgers  than your  LAangels .. sorry , that's just how it is ."
120,Wood still possesses shortstop's  pride : Wood still possesses shortstop's  pride  http://bit.ly/bKzMAS #LAAngels  #Angels
121,"@ LAAngels _GM  Those hurt the worse, C.J. is dealing,  pride  of V.P. H.S. hits an epic bomb..then laid back relief &running kills us....Brutal!"
122,Reppinn that angels  pride  #GoHalos  #LAANGELS    http:// instagr.am/p/QJxfN5jNeg/  
123,Major hometown  pride  tonight as Galion's J.B. Shuck hits his first MLB home run --  https://www. facebook.com/galionlive/pos ts/10151759288911558   …  … #Angels  #JBShuck  #LAAngels
124,Thank you so much New York Yankees for quitting with a week left in the season. Maybe Toronto--or the  LAAngels --still have a little  pride ...
125,@ LAAngels _GM  @VernonWells10  @kwelch31  @jon5cts  if he's that bad I bet he retires. Has HOF numbers and  pride  to protect.
126,"I suppose it doesn't matter. 3rd & 4th each get $7,500.
No way  LAAngels  make up 8,000 dropping us to 4th.
It's just  pride .
#Whiff .@Indians"
127,At the old ball game #angelsbaseball  #laangels  #omglob  #lezbehonest  #lgbtq  #girlfriends  #love  #datenight   http:// instagram.com/p/sRhv9hiG50/  
128,Torii full of  pride  watching Trout's evolution #AnaheimAngels  #LAAngels   http://www. fansort.com/p/HwrXWV5cGg   pic.twitter.com/xRlDymcA8h
129,"Torii full of  pride  watching Trout's evolution: Torii Hunter watches Mike Trout, like so man...  http:// atmlb.com/1GEPoIx    #LAAngels  #Angels"
130,"MLB hires  Pride  as latest Ambassador for Inclusion: Commissioner Robert D. Manfred, Jr. anno...  http:// atmlb.com/1RvSvvJ    #LAAngels  #Angels"
131,Like I said: #Jays  wouldn't score any more runs once #LAAngels  took the lead. They give up easily and have no  pride .
132,"On this #SpiritDay , join us in taking a stand against bullying and supporting #LGBTQ  youth by going purple:  http:// atmlb.com/2enUKTd   pic.twitter.com/wpUf7J7xYE"
133,"Angels Swallow  Pride  and $14.5 Million, Cut Scott Kazmir http://tinyurl.com/3t95gyv #mlb  #laangels  #rallymonkey"
134,ESPN.com - Angels Moment No. 8:  Pride  prevails:  http://es.pn/l2raGY
135,"Cameron Keith Maybin ... 11th time since 1913 in MLB, 4 runs and 4 stolen bags this eve in Houston ...  pride  of Asheville, NC #LAAngels"
136,Pujols: 'I take a lot of  pride  in representing my homeland'  http:// dlvr.it/PNCm8R    #Angels  #LAAngels   pic.twitter.com/q3iE7FL3la
137,@ Angels   pride  all day at @Disneyland  lol #Angels  #Disneyland  #LAAngels  #LosAngelesAngels  #AngelsofAnaheim  #AngelsStadiumofAnaheim  #MLB pic.twitter.com/GHKum78uWi
138,"On this #SpiritDay , the Angels join @MLB  in going purple to take a stand against bullying and support #LGBTQ  youth:  http:// atmlb.com/2yyN37l   pic.twitter.com/lQmRUJjWNO"
139,"Shit....

WE GOT HIM!
WE GOT HIM!
WE GOT HIM!!!!

HAAAAAAAAAALOOOOOOOO  PRIDE !!!!!

#LAAngels  #HaloPride  #Ohtani  #Angels"
140,@ Angels  Halo fan since birth! My car could sure use some stickers! Gotta show my Halo  pride ! #LAAngels
141,"You guys, they host the BEST #PRIDE  nights! Trust us! #RootedInOakland  #TheyAreSOMissed  #LGBTMLB https:// twitter.com/Nationals/stat us/1001897843060297728   …"
142,Let’s kick off  pride  month by heading to the Port bar in downtown Oakland to honor Glenn Burke and watch the A’s!! Let’s Go Oakland!! #RootedInOakland  #FOTFOC  #HighFive
143,".@Stomper00  had a fun and busy day! He visited Think College Now Elementary and participated in their end-of-the-year Reading Partners celebration, and then hopped over to East  Oakland   Pride  Elementary to play a few pick up games. #OakLend pic.twitter.com/mfettGwM9T"
144,"Is anyone from @abc7newsbayarea  going to the @Athletics   Pride  game this Friday? @reggieaqui  @DrewTumaABC7  Here we go  Oakland , Here we go! "
145,"OEBGMC is honored to sing at the A's game tomorrow night!  
.
#pridenight 
#RootedInOakland 
@Athletics   pic.twitter.com/XlibfkBbRi"
146,"The #Oakland  @Athletics  will celebrate the Bay Area’s LGBTQ community during their fourth annual  Pride  Night on Friday, June 8, when the team hosts the Kansas City Royals for a 7:05 p.m. matchup."
147,"Oakland A's  Pride  Night tonight!
Drag Queen Bingo in The Treehouse!
Food Trucks in Lot A(including Rita's)!
Warriors Watch Party next door at Oracle!
#RootedInOakland  #TownBusiness  #OaklandState"
148,# PrideNight  at @Athletics  -- featuring Community Grand Marshal Kin Folkz  https://www. facebook.com/SanFranciscoPr ide/posts/2155290251166008   … pic.twitter.com/ck7QDeTmav
149,"# Pride      #rootedinoakland 

@Stomper00   https:// twitter.com/Athletics/stat us/1005204202908311553   …"
150,"Best #NBAFinals  #DubNation  watch party is #AtTheColiseum  tonight, right next to Oracle Arena!

Hoping for a pair of Oakland wins tonight, but ultimately, #LoveWins . So glad that the #Athletics  are hosting another #PrideNight !

#Pride  #PrideMonth  #Warriors  #RootedInOakland https:// twitter.com/Athletics/stat us/1005145799116800000   …"
151,Pride  Night at the @Athletics ! The lovely @ms_mahlae  is hosting bingo. The A’s win-loss record on  pride  night is 2-1. Let’s get another W tonight! #RootedInOakland  #AtTheColiseum pic.twitter.com/MzvTfc88to
152,# pride  for #Oakland .   Pride  for the #athletics .…  https://www. instagram.com/p/BjyLY2Rlc-s/ ?utm_source=ig_twitter_share&igshid=q2qqd5cnz0jw   …
153,"# FlashbackFriday  to last year's #PrideNight  #AtTheColiseum .

I'm so proud to root for an #MLB  team that supports the #LGBTQX  community! And I hear the #Warriors  watch party at the game tonight features drag queen bingo!

#DubNation  #RootedInOakland  #NBAFinals  #PrideMonth  #Pride   https:// twitter.com/nosoupforgeorg e/status/872264836767285248   …"
154,"Drag Queen Bingo is going on in the @510treehouse ! Bring your lip-sync skills, they’ll be needed to decide ties. #PrideNight   pic.twitter.com/iLGJknEtCL"
155,What could be better than #Pride  night at the #Oakland  @Athletics  game? Running into hero @GavinGrimmVA . #Pride2018  #PrideMonth pic.twitter.com/sLCA20iXAQ
156,This is the real #Warriors  watch party at the @Athletics . #PrideNight  #RootedInOakland pic.twitter.com/xB7SOGtkis  – at  The Treehouse
157,"# GreenFridays  + #PrideNight  MOOD.
#PlayBall pic.twitter.com/IXI7H9grSi"
158,A's/Royals:  Pride  Night..Go A's  #RootedInOakland   pic.twitter.com/zZOIR96M9u
159,"Baseball is for everyone.
 
#PrideNight   pic.twitter.com/o1xE3lFoDv"
160,I LOVE THE  ATHLETICS !! #PrideNight     https:// twitter.com/athletics/stat us/1005275626675159040   …
161,# Piscotty2Hotty  #RootedInOakland  #pride  
162,# pridenight  at the @Athletics  game tonight. Great to watch #myA 's with #family . #rootedinoakland  #happypridemonth pic.twitter.com/DGheLWjYLr
163,Celebrating #PrideNight  at the @Athletics  game! Great crowd here and special shout out to @wacchampions  & @Thefamousralph   #RootedInOakland pic.twitter.com/kjCfxaPy7s
164,Enormous props to the Oakland @Athletics  for hosting a #PrideNight  tonight at the Coliseum. Great gesture from the organization to bring LGBTQ awareness to the baseball community.  https:// twitter.com/Athletics/stat us/1005275626675159040   …
165,"Kudos to the @Athletics  for sharing pictures of #PrideNight , changing their avi, fully embracing & promoting the night. Love you  @Reds , but take notes for next season’s Pride Night. https:// twitter.com/athletics/stat us/1005275626675159040   …"
166,"Couldn't make it to #PrideNight ? 

We've got plenty of gear available online to continue the celebration!

 https://www. mlbshop.com/oakland-athlet ics/t-25891133+z-9357943-2922953289?query=pride   … pic.twitter.com/G9kuXcDq7u"
167,thank you @Athletics  #PrideNight  #kisscam  #inclusive  #tolerance  #LOVE   
168,Seein all the photos from the @Athletics  #pridenight  makes me so happy. Looks like it was a hella good time capped off with the Warriors sweep.
169,Not every day you hear Cher at the ballpark!!! LOVE  Pride  Day with the @Athletics !   #rootedinOakland
170,Great game @Athletics  on #PrideNight  with a 7-2 win. @frankmontas  was a beast and had 7 shutout innings. Glad we came on this #FridayNight   pic.twitter.com/waHm5jApay
171,I have serious #pride  for both #Oakland  teams! @Athletics  @warriors
172,"It was a good night in #DubNation !

In addition to the Golden State Warriors winning their 3rd #NBAFinals  championship in 4 seasons, the #Athletics  also won while celebrating #PrideNight  tonight! #Pride 
#PrideMonth 
#lovewins  #Warriors  #RootedinOakland  #BayAreaUnite https:// twitter.com/Athletics/stat us/1005291103765970944   …"
173,You looked so good in that 'wearable' flag! #Pride  #RootedInOakland   pic.twitter.com/E0mj5njvba
174,"Reading some of the ignorant social media comments (especially @instagram ) on the @Athletics  LGBTQ #Pride  day posts give reason as to exactly why we need  Pride  days, weeks, months! Keep it up  Oakland ! "
175,# PRIDE  seen at #Oakland  @athletics  last night!…  https://www. instagram.com/p/Bj0c-9clJ5R/ ?utm_source=ig_twitter_share&igshid=1qvkflr8qk07   …
176,Rocking new @athletics  headgear featuring a technicolor @stomper00    #AtTheColiseum  #RootedInOakland  #pride     pic.twitter.com/F7cNwTWI08
177,Representing  OaklAnd  at SF  Pride ! @Athletics  @Oakland  @visitoakland pic.twitter.com/3msulRLoDT
178,This probably come across a tad whiney but I carry a tremendous amount of  pride  in being a fan of the A's and citizen of  Oakland . Your station treats the city and team like second rate citizens. Thanks for listening and have a good night. Go @Athletics
179,Proud of this  keep on doing it #RootedInOakland  #elephant   pride
