Timestamp,Approximately how many games do you attend each season?,What is your favorite team?,Do you identify as LGBTQ+ ?,Did your favorite team host a Pride Night this season?,Did you attend Pride Night this season?,When planning future trips to the ballpark:,"If your team hosts a Pride Night,  what do you think of the promotion and production? [Advertising]","If your team hosts a Pride Night,  what do you think of the promotion and production? [Pre-Game Activities]","If your team hosts a Pride Night,  what do you think of the promotion and production? [In-Game Entertainment/Features]","If your team hosts a Pride Night,  what do you think of the promotion and production? [Promotional Items]",What is your overall impression of MLB Pride Night themes?,What is your favorite themed night or promotion to attend?
9/19/2019 22:42,43626,Chicago Cubs,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,"Did some, but not enough",Don't know/unaware of this feature,Don't know/unaware of this feature,Wasn't done at all,"indifferent, don’t hate it, don’t love it",Bobblehead giveaway
9/19/2019 22:42,43470,Minnesota Twins,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",I would go out of my way to avoid Pride Night,,,,,Why do we need to celebrate what people do in their bedrooms during sporting events? ,Playoff themed games are ideal 
9/19/2019 22:43,43470,New York Yankees,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,I believe it was a nice gesture ,Rainbow 
9/19/2019 22:44,43470,Oakland Athletics,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,It's good to be inclusive and celebrate people for who they are.,Jersey Giveaway
9/19/2019 22:44,43470,Toronto Blue Jays,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",I would only attend if I liked the promotional item,Just the right amount,,Don't know/unaware of this feature,Just the right amount,I dont give a shit,Triple bobble head day BABY 
9/19/2019 22:44,43626,New York Mets,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Wasn't done at all,Wasn't done at all,Don't know/unaware of this feature,Don't know/unaware of this feature,Awesome,...One where they win? Also Star Wars
9/19/2019 22:47,43626,Chicago Cubs,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,,,,,Who gives a shit,What is this
9/19/2019 22:47,43470,Baltimore Orioles,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,indifferent,Hawaiian shirt giveaway
9/19/2019 22:49,43626,Houston Astros,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Im unaware of them. ,Fireworks night
9/19/2019 22:50,43470,St. Louis Cardinals,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,"Did some, but not enough","Did some, but not enough","Did some, but not enough","Did some, but not enough","Great, modern, important",Dogs at the park woof
9/19/2019 22:50,43784,New York Yankees,Prefer not to answer,No,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,"Did some, but not enough","Did some, but not enough","Did some, but not enough","Did some, but not enough",It’s great ,Bobbleheads!
9/19/2019 22:51,None,Minnesota Twins,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,I don't have one,None
9/19/2019 22:52,None,New York Mets,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,They are gay,baseball
9/19/2019 22:53,43470,Los Angeles Dodgers,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"I’m all for it, it’s a great message that baseball is for everyone ",Don’t have one
9/19/2019 22:56,43470,Washington Nationals,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"They're good. It's important to show support for the LGBT+ community. And if it helps baseball reach a wider audience, that's great too.",Do bobblehead nights count?
9/19/2019 22:57,43470,New York Mets,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I don't really care much. I hate how freaked out people on social media get though.,Game of Thrones night was cool
9/19/2019 22:58,43784,Atlanta Braves,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,"It seems like pandering, but so are the other theme nights",Bobblehead nights
9/19/2019 22:59,43470,Houston Astros,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Seems like a good idea,Don't ever think about it
9/19/2019 23:02,43470,St. Louis Cardinals,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,"Did some, but not enough",Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,The Staten Island Yankees won all of baseball this year because they wore rainbow pinstripes,Pride Night
9/19/2019 23:02,43626,Oakland Athletics,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,They’re a great addition to the game and help bring more inclusion to the sport,Anything bobble head related
9/19/2019 23:07,43470,Colorado Rockies,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to avoid Pride Night,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know,Star Wars/Beatles/GoT
9/19/2019 23:08,43470,St. Louis Cardinals,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I really don't have strong feelings one way or another.,"I can say it's not Star Wars night, but that's because the Cardinals have had some back luck with injuries for several years in a row. Feeling jinxed at this point even though I know it isn't."
9/19/2019 23:08,43470,Texas Rangers,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,,,,,Meh,One we win 
9/19/2019 23:09,43470,Los Angeles Dodgers,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,"Did some, but not enough",Don't know/unaware of this feature,Don't know/unaware of this feature,"Did some, but not enough",I think it’s good to Unite people ,Food fest! 
9/19/2019 23:09,43470,Boston Red Sox,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I’m for it,Don’t really care about theme nights
9/19/2019 23:10,43470,Philadelphia Phillies,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,Great for bringing awareness and improving relationships with the lgbtq community ,Phanactic's birthday 
9/19/2019 23:12,None,Toronto Blue Jays,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",I would go out of my way to avoid Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Has an economic basis. Attempt to attract different markets. ,"Free beer, free hot dog."
9/19/2019 23:12,43470,Houston Astros,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"didn't know about them, but I think it is positive",N/A
9/19/2019 23:13,43626,Toronto Blue Jays,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Just the right amount,Just the right amount,Just the right amount,Just the right amount,Pretty solid. Promoting acceptance is huge,Don't have one
9/19/2019 23:16,43626,New York Mets,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I’m excited to see the level of acceptance we’re reaching and enjoy noting that the Yankees are the last team to technically host any sort of actual Pride night (Legacy of Pride is BS),Hat or not-T-shirt shirt. 
9/19/2019 23:17,43470,Chicago Cubs,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,They handled it well,Discount concessions
9/19/2019 23:17,43470,New York Mets,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,I think it's great to promote inclusiveness.,Don't really have one
9/19/2019 23:17,43470,Washington Nationals,Yes,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"The world needs more love and appreciation for one another, we all breathe the same air after all.",Bobble Heads
9/19/2019 23:18,43470,St. Louis Cardinals,Yes,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,Fine,St. Louis Blues night 
9/19/2019 23:18,43470,Los Angeles Dodgers,Yes,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,,,,Baseball is for everyone and these events encourage that inclusion.   ,Bobble head night
9/19/2019 23:18,43470,Atlanta Braves,Yes,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Just the right amount,Just the right amount,Just the right amount,Thought the Braves pride night looked cool. ,Discounted beer 
9/19/2019 23:20,None,Toronto Blue Jays,Yes,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,Very well execured,Country night
9/19/2019 23:20,43784,Kansas City Royals,Yes,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,"Did some, but not enough",Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Theme nights are ways to get different people to the stadium that have the same interests and I think that is a good way to get people into baseball. ,Giveaways. I don’t go to many theme nights though 
9/19/2019 23:24,43470,Detroit Tigers,Yes,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,,,,,I don’t really know anything about it,Opening day
9/19/2019 23:24,43626,Los Angeles Dodgers,Yes,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Just the right amount,Just the right amount,Just the right amount,Just the right amount,Positive! It's good for LGBT baseball fans to see themselves as welcome.,Hello Kitty
9/19/2019 23:27,None,Boston Red Sox,Yes,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,Very pleased,Star Wars
9/19/2019 23:28,43626,Los Angeles Dodgers,Yes,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Just the right amount,Don't know/unaware of this feature,,"Did some, but not enough",I like them! I wish they would do a full weekend of games with multiple items,"I like going to different ethnic heritage nights, mine and other ethnicities! My favorite promotion was actually a sand globe giveaway day, though."
9/19/2019 23:30,43626,Minnesota Twins,Yes,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,Good,Star wars 
9/19/2019 23:32,None,Chicago Cubs,Yes,I don't know,"Didn't attend, but not because of Pride Night",I would go out of my way to avoid Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I barely know anything about them,"Ones that are tailored to a specific player currently on the roster, or a special part of the yram's history"
9/19/2019 23:37,43470,Minnesota Twins,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",I would only attend if I liked the promotional item,,,,,Who cares,Bobbleheads 
9/19/2019 23:39,43626,St. Louis Cardinals,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,I love it and I want more. Would like to see as many inclusive nights as possible. (Especially if Christian Night is a thing),Any game they can clinch the division? Themes/Promotions don't really influence my visit
9/19/2019 23:39,43626,New York Mets,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"They're doing something, which is great.",Giveaways (Padres pride hat giveaway was amazing)
9/19/2019 23:50,43470,New York Yankees,Prefer not to answer,No,"Didn't attend, but not because of Pride Night",I would only attend if I liked the promotional item,Wasn't done at all,Wasn't done at all,Wasn't done at all,Wasn't done at all,Ugh just a money grab lol.,Bobbleheads
9/19/2019 23:51,43470,Boston Red Sox,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Just the right amount,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,"A little cheesy, but as a queer person I hope it also means we'll see some outwardly queer players. Tons of us are in the stands.",Don't really have a specific favorite
9/19/2019 23:53,43626,New York Yankees,Prefer not to answer,No,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Wasn't done at all,Wasn't done at all,Wasn't done at all,Wasn't done at all,I think they are a supporting a great cause.,"I liked bat days as a kid, now I enjoy hat days."
9/20/2019 0:02,43784,New York Yankees,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Just the right amount,Just the right amount,Just the right amount,Just the right amount,Important and needs to be league wide,Rainbow hat! 
9/20/2019 0:03,43470,St. Louis Cardinals,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,It's fine,Grateful Dead Night 
9/20/2019 0:03,43470,New York Yankees,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,"Did some, but not enough",Just the right amount,Just the right amount,Just the right amount,"A good start, hopefully pride night is expanded and advertised more ",No preference
9/20/2019 0:04,43470,Minnesota Twins,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I definitely saw it advertised on social media and think they did a good job promoting it. I just generally pick what games to attend based on what works with my schedule.,Season opener when we get cold weather items like stocking hats. Or Prince night.
9/20/2019 0:05,21 or more,Los Angeles Dodgers,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,It’s a good idea.  ,Bobble head giveaway 
9/20/2019 0:05,43470,San Francisco Giants,Prefer not to answer,No,"Didn't attend, but not because of Pride Night",I would only attend if I liked the promotional item,Just the right amount,Just the right amount,Just the right amount,Just the right amount,All are good ,I like the bobbleheads
9/20/2019 0:12,43626,Atlanta Braves,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,I think they're fine to have. There are a lot of other promotional nights so I see no reason not to include Pride.,Havent been to many but bobblehead nights are always cool.
9/20/2019 0:14,43626,New York Mets,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",I would only attend if I liked the promotional item,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,"Can be very successful, if planned and marketed correctly.",Bobblehead
9/20/2019 0:22,43470,Los Angeles Dodgers,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"They're fine.  I wouldn't mind going for something different, but wouldn't go out of my way.  If the LGBT people are ok with it and having fun, carry on.  It's just a ballgame.  ",I like a good bobblehead.  Mainly because I used to score free tickets from a guy who just wanted the knick-knacks.
9/20/2019 0:26,43470,San Francisco Giants,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Too Much,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don’t care,World Series wins
9/20/2019 0:29,21 or more,Los Angeles Dodgers,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,"Did some, but not enough","Did some, but not enough",Just the right amount,"Did some, but not enough",It can definitely be better but I think the Dodgers are heading in the right direction which is really encouraging.,Bobblehead Nights
9/20/2019 0:29,43470,New York Yankees,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,,,,,Indifferent,Cap night
9/20/2019 0:37,43626,Chicago Cubs,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,positive,bobblehead
9/20/2019 0:43,43470,Oakland Athletics,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Just the right amount,Just the right amount,,Just the right amount,I like them and went to the first few ones they had. ,Star wars night
9/20/2019 0:49,21 or more,St. Louis Cardinals,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Just the right amount,Just the right amount,Just the right amount,"Sure, why not?","All of them, Cardinals promotions are 🔥"
9/20/2019 0:53,43784,Colorado Rockies,Prefer not to answer,I don't know,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I've never seen them but I'm supportive of all pride nights!,All of the player appreciation days. Especially Chuck Nazty day
9/20/2019 0:54,43626,Washington Nationals,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Just the right amount,Pretty gay,Any bobblehead
9/20/2019 1:00,43470,Atlanta Braves,Prefer not to answer,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,"Did some, but not enough","Did some, but not enough","Did some, but not enough","Did some, but not enough","Love it, they need love, broski. ",College Appreciation
9/20/2019 1:01,21 or more,Arizona Diamondbacks,No,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Just the right amount,Just the right amount,Just the right amount,Just the right amount,I love it. I think it’s an important even for the MLB to promote and hope that it grows in the future to the point where even players feel comfortable enough to let their own sexualities be known,"Eh, don’t really care"
9/20/2019 1:11,16-20,Arizona Diamondbacks,No,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to avoid Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"It is kinda ridiculous, just another money grab for the organizations",Star Wars Night
9/20/2019 1:16,43470,Minnesota Twins,No,I don't know,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,,Didn't realize they existed,Dollar Dog Nights
9/20/2019 1:30,43470,Seattle Mariners,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Just the right amount,,,,"Excellent, their social media team wasn't putting up with awful people in the comments either",Fireworks night
9/20/2019 1:32,21 or more,Los Angeles Angels,No,Yes,"Didn't attend, but not because of Pride Night",Undecided,"Did some, but not enough",Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Unnecessary to have this night. ,Christmas in July 
9/20/2019 1:46,43470,New York Mets,No,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,"Did some, but not enough",Wasn't done at all,"Did some, but not enough",Wasn't done at all,Good,Anything with a good giveaway
9/20/2019 2:01,43470,Chicago White Sox,No,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,,,,,Cool,Fireworks
9/20/2019 2:06,43626,St. Louis Cardinals,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Too Much,Too Much,Too Much,Just the right amount,"They’re mostly pandering, and they come across as insincere.",Bobbleheads and cool hats
9/20/2019 2:10,21 or more,New York Yankees,No,I don't know,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,"Did some, but not enough","Did some, but not enough","Did some, but not enough","Did some, but not enough",A+,free stuff
9/20/2019 2:24,43626,Arizona Diamondbacks,No,Yes,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Too Much,Just the right amount,Just the right amount,Just the right amount,"They want money, if it makes them more money good for them. ",Star wars
9/20/2019 2:35,43470,New York Yankees,No,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Just the right amount,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,"It's all about positivity, which is much appreciated as the target audience","Never been to a themed game, or at least i don't remember going to one "
9/20/2019 2:42,43470,Oakland Athletics,No,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Just the right amount,Just the right amount,Just the right amount,Just the right amount,Very positive. Great for the sport and inclusivity.,Bark in the Park
9/20/2019 2:46,43470,Seattle Mariners,No,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to avoid Pride Night,"Did some, but not enough","Did some, but not enough","Did some, but not enough","Did some, but not enough","I fully support it, and am glad my team does this promotion even though I go out of my way to not attend those games. It’s not a night for me personally though, I’m completely fine just watching on TV",BARK AT THE PARK IS THE GREATEST PROMOTION
9/20/2019 2:47,43784,Cleveland Indians,No,No,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I think they're fine. It's a nice way to acknowledge the LGBTQ community and people can go suck it if they don't like it.,I like fireworks nights the best.
9/20/2019 2:49,None,Seattle Mariners,No,Yes,"Didn't attend, but not because of Pride Night",I would go out of my way to attend on Pride Night,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,gay rights,i've never been to a game lol
9/20/2019 3:04,None,Houston Astros,No,I don't know,"Didn't attend, but not because of Pride Night",Pride Night would not influence my choice of game,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,Don't know/unaware of this feature,I think they're cool. Might be sweet if a unified MLB pride night was done so they could make merch likes hats and jerseys.,Dollar Dog Nights
